cocktail,canonical,build_method,build_confidence,glass_type,glass_confidence,ice_format,ice_confidence,aeration,aer_confidence
"Mocha-Berry","mocha-berry",shake,medium,mug,medium,rocks,medium,high,high
"Mango Mojito","mango mojito",blend,high,highball,medium,crushed,high,high,high
"Mojito Extra","mojito extra",shake,medium,highball,high,tall,medium,medium,high
"Monkey Gland","monkey gland",shake,high,coupe,high,up,high,medium,high
"Midnight Mint","midnight mint",shake,high,coupe,high,up,medium,high,high
"Mary Pickford","mary pickford",shake,high,coupe,high,up,medium,medium,high
"Monkey Wrench","monkey wrench",stir,high,rocks,high,rocks,high,low,high
"New York Sour","new york sour",blend,high,,unknown,,unknown,high,high
"Nutty Irishman","nutty irishman",shake,medium,highball,high,rocks,high,high,high
"National Aquarium","national aquarium",shake,high,highball,high,rocks,high,medium,high
"New York Lemonade","new york lemonade",stir,high,coupe,high,up,high,low,high
"Orgasm","orgasm",shake,high,coupe,high,up,high,high,high
"Orange Whip","orange whip",stir,high,highball,high,rocks,high,low,high
"Orange Crush","orange crush",shake,medium,rocks,medium,rocks,medium,medium,high
"Orange Oasis","orange oasis",shake,high,highball,high,rocks,high,medium,high
"Old Fashioned","old fashioned",muddle,medium,rocks,high,rocks,high,low,medium
"Oreo Mudslide","oreo mudslide",blend,high,highball,high,tall,medium,high,high
"Oatmeal Cookie","oatmeal cookie",shake,medium,,unknown,,unknown,high,high
"Orange Push-up","orange push-up",blend,high,hurricane,high,crushed,medium,high,high
"Orange Rosemary Collins","orange rosemary collins",shake,medium,highball,high,tall,medium,medium,high
"Owen's Grandmother's Revenge","owens grandmothers revenge",blend,high,highball,high,tall,medium,high,high
"Paradise","paradise",shake,high,coupe,high,rocks,high,medium,high
"Pink Gin","pink gin",shake,high,wine,high,,unknown,medium,high
"Pegu Club","pegu club",shake,high,coupe,high,up,medium,medium,high
"Pink Moon","pink moon",shake,high,,unknown,,unknown,medium,high
"Penicillin","penicillin",blend,high,rocks,high,rocks,medium,high,high
"Porto flip","porto flip",shake,high,coupe,high,up,medium,medium,high
"Pina Colada","pina colada",blend,high,highball,high,up,high,high,high
"Pink Penocha","pink penocha",stir,high,punch,high,,unknown,low,high
"Pure Passion","pure passion",stir,high,,unknown,crushed,high,low,high
"Popped cherry","popped cherry",shake,medium,highball,high,rocks,high,medium,high
"Poppy Cocktail","poppy cocktail",shake,high,coupe,high,up,medium,medium,high
"Port Wine Flip","port wine flip",shake,high,,unknown,,unknown,high,high
"Planter's Punch","planters punch",shake,high,highball,high,rocks,high,medium,high
"Pineapple Paloma","pineapple paloma",stir,high,highball,high,tall,medium,low,high
"Port And Starboard","port and starboard",stir,medium,,unknown,,unknown,low,high
"Port Wine Cocktail","port wine cocktail",stir,high,coupe,high,up,medium,low,high
"Pink Panty Pulldowns","pink panty pulldowns",shake,high,highball,high,tall,medium,medium,high
"Quentin","quentin",shake,high,coupe,high,rocks,high,high,high
"Queen Bee","queen bee",shake,high,coupe,high,up,medium,medium,high
"Quick F**K","quick fk",shake,medium,,unknown,,unknown,high,high
"Quick-sand","quick-sand",shake,medium,highball,high,tall,medium,medium,high
"Queen Charlotte","queen charlotte",stir,high,highball,high,rocks,high,low,high
"Queen Elizabeth","queen elizabeth",stir,high,coupe,high,up,medium,low,high
"Quaker's Cocktail","quakers cocktail",shake,high,coupe,high,up,medium,medium,high
"Quarter Deck Cocktail","quarter deck cocktail",stir,high,coupe,high,up,medium,low,high
"Rose","rose",shake,high,coupe,high,up,high,medium,high
"Radler","radler",,unknown,highball,high,tall,medium,,unknown
"Rum Sour","rum sour",shake,high,,unknown,rocks,high,medium,high
"Rum Punch","rum punch",shake,medium,punch,high,,unknown,medium,high
"Rum Toddy","rum toddy",stir,high,rocks,high,rocks,medium,low,high
